 ,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,"AVG/14,15,16",
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,,1.364565299,1.398279161,1.425354386,1.453601135,1.482368561,1.516603101,1.535868164,1.563203728,1.596266743,1.628028065,1.684000885,1.715241529,1.741665907,1.786313995,1.808442784,1.826666493,1.84736342,1.868971532,1.889277951,1.912448095,1.942551059,1.976523567,2.003758249,2.027959205,2.055154316,2.085098213,2.117057912,2.151981047,2.188721607,2.221356625,2.249851737,2.275182563,2.2955115,2.317726202,2.343683793,2.37230608,2.398114757,2.42213712,2.448780183,2.476966794,2.508975307,2.53767882,2.567035523,2.594629473,2.626406675,2.662088958,2.711118025,2.765994429,2.823588378,2.867858584,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.197365841,3.245784982,3.294351419,3.335312311,3.33957517,3.100287641,AUS
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,,85.87371546,86.40164809,86.95844644,87.54000242,88.11062773,88.73080465,89.3964857,89.86188803,90.172746,90.4881968,90.89289869,91.42269753,91.93062288,92.08722734,91.84322588,91.68110761,91.7163112,91.64208677,91.48600339,91.48610034,91.71970431,91.78550654,91.63730005,91.63153175,91.67456374,91.73284052,91.79091129,91.9209525,92.33600339,93.04229278,93.97589675,95.01586282,95.80262967,96.17205526,96.31941348,96.44955162,96.55890693,96.6649176,96.85317499,97.08635482,97.45871304,97.93937227,98.41763209,99.03012603,99.70708919,100.2016602,100.5269874,100.8421716,101.1066772,101.3500242,101.6922322,102.1569438,102.7608216,103.5670868,104.7345977,105.8733398,106.6113185,107.1318589,107.6093068,108.0570044,108.5288051,104.7250081,AUT
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.5485469,339.7149934,341.2412483,342.6728203,344.1590819,346.0573646,348.347358,350.9147952,353.6979194,356.555251,359.8278071,364.5397622,366.8075297,368.5405218,370.180218,372.3314399,374.2213342,375.6657199,377.3795905,379.4247028,381.0635403,382.8583884,372.2443307,BEL
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,,2.037902692,2.076160074,2.115198219,2.155463277,2.194836034,2.23610493,2.276704601,2.313735069,2.345411735,2.378426852,2.449591382,2.478193069,2.508677845,2.543945128,2.58134434,2.615534282,2.646322551,2.672797105,2.699381078,2.73441759,2.768352668,2.801482334,2.829311958,2.856148117,2.88236647,2.911161229,2.94978925,2.988285991,3.042385498,3.088601866,3.127225314,3.164461458,3.199428482,3.234663084,3.268308165,3.302651359,3.335636361,3.363434308,3.390885151,3.42261134,3.459995605,3.497826579,3.529497557,3.562582608,3.596389418,3.632909156,3.66836148,3.708302298,3.750884772,3.792822224,3.830124732,3.871939493,3.913066959,3.952604904,3.982215114,4.027563942,4.07616632,4.134148896,4.193949311,4.23922642,4.349505388,3.98746132,CAN
Switzerland,CHE,Population density (people per sq. km of land area),EN.POP.DNST,,137.4796094,141.0092846,144.0560362,146.4589152,148.1600891,149.7167071,151.583308,153.5041996,155.241525,156.3670563,157.1898148,158.3929367,159.5665604,160.4281775,160.3580247,159.4440397,158.9044222,158.9186905,159.2352748,159.8688143,160.7457972,161.6877707,162.3825569,162.9664101,163.6870723,164.5407733,165.5771973,166.7982406,168.151991,169.8872506,172.0235218,173.9302591,175.5211486,176.9255639,178.111454,178.905302,179.3423102,179.8815358,180.74705,181.7712317,182.9307258,184.3254821,185.7038566,186.9906177,188.1981564,189.3887944,191.0948546,193.5413607,195.9777672,198.0326587,200.2498644,202.390548,204.7343366,207.2507514,209.6266208,211.9315721,213.9184801,215.5000945,217.0427817,218.6344696,220.285662,209.6029814,CHE
Chile,CHL,Population density (people per sq. km of land area),EN.POP.DNST,,11.18113948,11.41325457,11.6417397,11.86908701,12.09757751,12.32179516,12.54319653,12.76542503,12.98706579,13.20787942,13.42830974,13.64536429,13.86334684,14.08512747,14.309446,14.53181437,14.75371739,14.979514,15.20355681,15.42613902,15.65179844,15.88016118,16.10759591,16.33790879,16.57816476,16.83115454,17.09783036,17.37435511,17.65710017,17.94525051,18.23989418,18.53625264,18.82687766,19.11239059,19.38961067,19.65683118,19.91748708,20.16959862,20.41123987,20.64712615,20.8786952,21.1070808,21.32942765,21.54307548,21.75469381,21.96889307,22.18537736,22.40853386,22.639842,22.86944207,23.09728835,23.32350323,23.54965893,23.78795802,24.0341021,24.32158804,24.7044875,25.15217906,25.60681316,25.95761178,26.21700747,24.04788272,CHL
Colombia,COL,Population density (people per sq. km of land area),EN.POP.DNST,,14.58532132,15.04396755,15.51235331,15.9889626,16.47211717,16.95485083,17.43484543,17.91122397,18.37968815,18.84204957,19.29284633,19.73686796,20.18595584,20.63800901,21.09394412,21.55295358,22.03147904,22.53592429,23.05482019,23.59278504,24.14239027,24.70049031,25.27474448,25.85762235,26.43196034,27.00324561,27.58273817,28.17190356,28.77252546,29.3838603,29.98884903,30.58948986,31.19849932,31.81204236,32.42010005,33.01719063,33.61148806,34.19956196,34.77695629,35.34487156,35.90615142,36.4615142,37.00557639,37.53787111,38.05402434,38.5515187,39.03252096,39.49104371,39.94043894,40.39306715,40.83722307,41.26400811,41.67456512,42.07115548,42.46933574,42.92560162,43.57969446,44.41366471,45.23425507,45.90415683,46.43223254,42.48869761,COL
Costa Rica,CRI,Population density (people per sq. km of land area),EN.POP.DNST,,27.34308656,28.33993341,29.35070505,30.36938895,31.38926753,32.40538582,33.4128868,34.39743439,35.36952605,36.34345868,37.31856639,38.29900118,39.29195065,40.31012534,41.36016451,42.45092049,43.58852331,44.77497062,46.00975323,47.28364669,48.59643557,49.95652174,51.36177047,52.80454367,54.27855464,55.77455934,57.27761457,58.78301998,60.30162554,61.85376028,63.44328241,65.05951821,66.69353702,68.33435174,69.97367803,71.60661966,73.2358206,74.84177438,76.40873482,77.93170779,79.38155112,80.74075597,82.03309832,83.29024677,84.52579318,85.74563259,86.95689385,88.16923228,89.36793968,90.52589111,91.65542499,92.76523698,93.84126518,94.87442225,95.87234626,96.85086173,97.80340776,98.7217783,99.57955347,100.334998,100.9392284,95.86587675,CRI
Czechia,CZE,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.6851948,133.7334929,133.6515206,133.4960657,133.3522842,133.2259997,133.0899444,132.7172641,132.2195548,131.964747,131.9269833,131.9842221,132.1669169,132.5424595,133.3181618,134.4459218,135.214086,135.6261815,135.9068756,136.0971773,136.1599586,136.30338,136.589289,136.8518586,137.2158788,137.6755343,138.2268103,138.5759288,136.1083491,136.5815092,CZE
Germany,DEU,Population density (people per sq. km of land area),EN.POP.DNST,,210.1728067,212.0292842,214.0015267,215.7314954,217.5799702,219.4034056,220.4088334,221.3912124,223.153788,223.8973706,224.3085441,225.3843898,226.0953398,226.1834646,225.341718,224.3775957,223.8702317,223.675479,223.774382,224.2390399,224.5808352,224.3673302,223.7799158,223.0077192,222.509876,222.6117377,222.9539713,223.8267092,225.5643543,227.5170538,229.1808094,230.9300203,232.4597932,233.2741772,233.9674907,234.6524707,235.0229795,235.0787777,235.2577311,235.5968133,236.0273001,236.4515708,236.6164273,236.5921954,236.4646806,236.2251979,235.9433619,235.5221782,234.9396374,234.6069082,230.3046333,230.7506255,231.1557126,232.1080539,234.1529869,235.7129294,236.5887226,237.2940123,237.8229543,238.0173188,238.1180858,233.9913234,DEU
Denmark,DNK,Population density (people per sq. km of land area),EN.POP.DNST,,115.292175,116.193175,117.112075,118.0518,118.9753,119.934525,120.88385,121.622075,122.2965,123.218925,124.07815,124.7899,125.546525,126.132425,126.49655,126.8149,127.210475,127.6062,127.920025,128.075675,128.0393,127.94525,127.857425,127.790475,127.842275,128.01335,128.1756,128.2379,128.31485,128.523475,128.85745,129.28425,129.7157,130.1545,130.834325,131.57685,132.124775,132.605475,133.044975,133.4904,133.969575,134.398275,134.76435,135.113075,135.4858,135.9318,136.53595,137.340525,138.077375,138.692075,139.2643,139.7893,140.3733,141.086875,142.087075,143.20025,144.1245,144.8409,145.36055,145.7851,146.418325,142.1247333,DNK
Spain,ESP,Population density (people per sq. km of land area),EN.POP.DNST,,61.50556245,62.07404458,62.62085518,63.24621834,63.93671616,64.59480972,65.39466765,66.25542038,66.91154908,67.65883189,68.47911081,69.23940334,70.00869783,70.78206103,71.56876088,72.33783454,73.09051928,73.79916722,74.45115506,75.06189561,75.59890882,76.0541625,76.43018041,76.74668429,77.02529233,77.25577447,77.45638115,77.62081331,77.74259971,77.82180442,78.02013455,78.40318156,78.81079209,79.18690533,79.53718164,79.86915746,80.20460716,80.53721969,80.86431804,81.29832465,81.94337639,83.02251924,84.50881393,85.98480508,87.4654972,88.97614934,90.61490052,92.12932237,92.97506517,93.15193096,93.50783588,93.50683713,93.2009456,92.92273645,92.95268592,93.04926296,93.27091015,93.66979208,94.3508089,94.81538375,94.88212075,92.97489511,ESP
Estonia,EST,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1663364,35.24718094,34.50139184,33.89087049,33.39452701,33.01568766,32.70007077,32.79650861,32.95553197,32.7462845,32.53951404,32.33592828,32.14319415,31.95977825,31.77188016,31.62727058,31.5425808,31.48183534,31.41012031,31.31490918,31.20301958,30.31969174,30.24028065,30.26011042,30.2689211,30.816,30.9234386,31.03854971,31.09992982,31.13291228,30.25643739,EST
Finland,FIN,Population density (people per sq. km of land area),EN.POP.DNST,,14.64593388,14.74586493,14.85048426,14.93333005,14.98319708,15.0394596,15.12112676,15.18916905,15.1803572,15.12297515,15.14207295,15.23246659,15.31921928,15.39963229,15.4681375,15.51483634,15.55829804,15.60303359,15.64296267,15.69170032,15.75877081,15.84731278,15.9420434,16.02745658,16.09444171,16.14680062,16.19266227,16.23980104,16.29853574,16.37096096,16.46061919,16.55337339,16.63366164,16.70551561,16.76939492,16.82449522,16.87460192,16.91945894,16.95877737,16.99402147,17.03275879,17.07409304,17.11485604,17.16462129,17.22346761,17.31698399,17.39195633,17.48403751,17.56785456,17.64841066,17.73099477,17.81556155,17.89783145,17.97200303,18.03011089,18.08200783,18.12389445,18.14795012,18.16736091,18.19287688,18.23016591,18.02804058,FIN
France,FRA,Population density (people per sq. km of land area),EN.POP.DNST,,86.12960082,87.07588126,88.0075443,89.00113776,90.0033165,90.97906188,91.92318734,92.8052874,93.63744827,94.46188405,95.30398527,96.13067283,96.88998221,97.55034096,98.09910221,98.55717484,99.02365742,99.50616912,99.99447555,100.5405412,101.1221369,101.7121333,102.2573644,102.7742793,103.3102768,103.8508472,104.4045996,104.9602258,105.4964735,106.00494,106.941587,107.4755244,107.9434552,108.3478247,108.7424329,109.131197,109.5209418,109.9279174,110.497036,111.2583191,112.0728386,112.8925483,113.6351888,114.5363143,115.4005793,116.2039039,116.9225067,117.576245,118.1810825,118.7649414,119.3395993,119.9185473,120.5395767,121.1053224,121.5367021,121.857823,122.2119706,122.6508802,123.0702941,123.4046994,123.7307385,121.4999492,FRA
United Kingdom,GBR,Population density (people per sq. km of land area),EN.POP.DNST,,218.2449469,220.104989,221.7583599,223.2050593,224.6436986,225.8855867,227.1053611,228.2135328,229.1644277,230.0799818,231.0429587,231.8276568,232.2759765,232.4224941,232.4052412,232.3480676,232.2716984,232.2841483,232.4926673,232.7707023,232.8517712,232.7683255,232.8477163,233.2165172,233.746406,234.288414,234.7871285,235.3090853,235.9224197,236.6287191,237.3616211,238.0043897,238.5756789,239.1838342,239.8174265,240.4288431,241.0488736,241.7523292,242.5596908,243.4279089,244.366854,245.4035423,246.5489067,247.9556277,249.6639772,251.5058901,253.4719258,255.4747034,257.4144174,259.4401893,261.4756748,263.3001901,265.0695366,267.0288844,269.1531393,271.2007316,273.049473,274.7089819,276.2630802,277.2753854,277.0483198,269.1275851,GBR
Greece,GRC,Population density (people per sq. km of land area),EN.POP.DNST,,65.15166796,65.54098526,65.78452289,66.02349884,66.33307215,66.82429015,67.37073701,67.81043445,68.05868115,68.21416602,68.51075252,68.95754849,69.27141971,69.52693561,70.18262995,71.28122576,72.21473235,73.15716835,74.0749263,74.80608999,75.47982933,75.94657099,76.38965865,76.77114818,77.06982157,77.32515904,77.58413499,77.86643134,78.27384019,79.10622188,80.06149728,80.67541505,81.15139643,81.55874321,81.94067494,82.30256012,82.70953452,83.16919317,83.48873545,83.83093871,84.2678976,84.5773623,84.77944143,84.98945694,85.23905353,85.49543832,85.71352211,85.94135764,86.16770365,86.27882855,86.1512723,85.68666408,85.06757952,84.50281614,83.94788984,83.5994647,83.43428239,83.26518231,83.17751746,82.99921645,82.55408068,84.01672356,GRC
Hungary,HUN,Population density (people per sq. km of land area),EN.POP.DNST,,111.3873945,111.7722062,112.0509497,112.4051427,112.7297823,113.0835796,113.5178222,113.9661629,114.4429714,114.891198,115.2332666,115.5772924,115.9503723,116.4690452,117.1559964,117.8285381,118.3640618,118.7598311,119.0408363,119.1315983,119.1529255,119.0959506,118.930385,118.6926457,118.4770027,118.2750779,118.0767802,117.9090575,116.6320129,115.4332703,115.4267275,115.3815623,115.2628867,115.1052192,114.9450812,114.7478077,114.5933853,114.3270601,114.0036748,113.9362977,113.6752511,113.3520196,113.0278063,112.7777951,112.5662872,112.3911394,112.2171633,112.0208459,110.7108141,110.4608748,110.1483155,109.5809345,109.2795979,108.1138286,107.8569801,107.5391519,107.253627,107.1177296,107.0692636,106.8392395,106.3981043,107.8366535,HUN
